tract,med_hh_income,med_hh_income_universe,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037403401,120027,1421,Above Moderate Income,No,No,No,District 1,City of Walnut,SPA 3 - San Gabriel,6095,24291577.8173828,31329.9465959848
06037403402,109333,992,Low Income,No,No,Yes,District 1,City of Walnut,SPA 3 - San Gabriel,6096,18571800.9755859,17426.7844860501
06037403403,151094,1629,Above Moderate Income,No,No,No,District 1,City of Walnut,SPA 3 - San Gabriel,6097,42248763.2255859,42482.9612413717
06037403404,141591,642,Above Moderate Income,No,No,No,District 1,City of Walnut,SPA 3 - San Gabriel,6098,25501443.0351562,24508.9409081604
06037403407,161667,656,Above Moderate Income,No,No,No,District 1,City of Walnut,SPA 3 - San Gabriel,6099,50545933.3857422,36577.1983960605
06037403408,137936,1939,Above Moderate Income,No,No,No,District 1,City of Walnut,SPA 3 - San Gabriel,6100,34523037.8583984,25578.8277277132
06037403409,125078,1255,Above Moderate Income,No,No,No,District 1,City of Walnut,SPA 3 - San Gabriel,6101,50692519.3896484,37923.9196674504
06037403500,120341,546,Above Moderate Income,No,No,No,District 1,Unincorporated - Covina,SPA 3 - San Gabriel,6102,52900904.6894531,37011.7206648875
06037403601,115858,2152,Moderate Income,No,No,Yes,District 1,City of Covina,SPA 3 - San Gabriel,6103,52804692.1142578,37368.847428351
06037403702,120391,1297,Above Moderate Income,No,No,No,District 1,City of Covina,SPA 3 - San Gabriel,6104,18411294.7958984,18679.9308836384
06037403703,122628,1510,Above Moderate Income,No,No,No,District 5,City of San Dimas,SPA 3 - San Gabriel,6105,23344441.3515625,22187.8967088395
06037403721,89435,1808,Low Income,Yes,No,Yes,District 1,City of Covina,SPA 3 - San Gabriel,6106,20400845.7539062,20593.0904728214
06037403722,70665,1633,Low Income,Yes,Yes,Yes,District 1,City of Covina,SPA 3 - San Gabriel,6107,19439753.5732422,18579.5405989707
06037403801,90250,2110,Low Income,Yes,No,Yes,District 5,Unincorporated - Covina (Charter Oak),SPA 3 - San Gabriel,6108,20296824.078125,21430.1634787097
06037403802,89030,2107,Low Income,Yes,No,Yes,District 5,Unincorporated - Covina (Charter Oak),SPA 3 - San Gabriel,6109,13957913.5546875,15924.8506746077
06037403901,118523,860,Above Moderate Income,No,No,No,District 5,City of Glendora,SPA 3 - San Gabriel,6110,13577493.9433594,16931.3409127041
06037403902,84301,1490,Low Income,Yes,No,Yes,District 5,City of Glendora,SPA 3 - San Gabriel,6111,22760108.8515625,18615.3924778608
06037404000,112830,1380,Moderate Income,No,No,Yes,District 1,Unincorporated - Azusa,SPA 3 - San Gabriel,6112,14226603.9101562,16068.9152871131
06037404100,81602,1475,Low Income,Yes,Yes,Yes,District 1,Unincorporated - Azusa,SPA 3 - San Gabriel,6113,14636993.5263672,16139.9370667974
06037404201,71346,1062,Low Income,Yes,Yes,Yes,District 1,City of Azusa,SPA 3 - San Gabriel,6114,9956456.54199219,13460.7938209712
06037404203,85250,912,Low Income,Yes,No,Yes,District 1,Unincorporated - Azusa,SPA 3 - San Gabriel,6115,6947296.41113281,10555.7668801651
06037404301,83625,1582,Low Income,Yes,No,Yes,District 1,City of Azusa,SPA 3 - San Gabriel,6116,11991064.203125,13912.436241307
06037404302,86063,643,Low Income,Yes,No,Yes,District 1,City of Azusa,SPA 3 - San Gabriel,6117,6618697.20996094,10268.0123877982
06037404401,79931,1103,Low Income,Yes,Yes,Yes,District 1,City of Azusa,SPA 3 - San Gabriel,6118,15575096.4677734,19965.3374077114
06037404402,96392,1207,Low Income,Yes,No,Yes,District 1,City of Azusa,SPA 3 - San Gabriel,6119,36232074.2998047,27947.1718509264
06037404501,63958,758,Very Low Income,Yes,Yes,Yes,District 1,City of Azusa,SPA 3 - San Gabriel,6120,8564304.77832031,13739.6430517023
06037404503,101188,853,Low Income,No,No,Yes,District 1,City of Azusa,SPA 3 - San Gabriel,6121,7056612.65917969,10647.9170160353
06037404504,75439,1443,Low Income,Yes,Yes,Yes,District 1,City of Azusa,SPA 3 - San Gabriel,6122,7107181.99609375,10608.756661102
06037404600,113250,423,Moderate Income,No,No,Yes,District 1,City of Irwindale,SPA 3 - San Gabriel,6123,267656399.978516,128183.169741764
06037404701,95143,1388,Low Income,Yes,No,Yes,District 1,City of Baldwin Park,SPA 3 - San Gabriel,6124,18209431.3974609,18131.4639588734
06037404702,78786,1394,Low Income,Yes,Yes,Yes,District 1,City of Baldwin Park,SPA 3 - San Gabriel,6125,12499953.1044922,16182.227866812
06037404703,91083,719,Low Income,Yes,No,Yes,District 1,City of Baldwin Park,SPA 3 - San Gabriel,6126,14092403.3496094,23492.7752354973
06037404804,80640,1069,Low Income,Yes,Yes,Yes,District 1,City of Baldwin Park,SPA 3 - San Gabriel,6127,10191726.2832031,13759.9948601937
06037404805,65708,762,Very Low Income,Yes,Yes,Yes,District 1,City of Baldwin Park,SPA 3 - San Gabriel,6128,4861665.609375,8754.57721521579
