CT10,TractSNAP,Pop2010
132102.0,281.0,5310.0
132101.0,93.0,4259.0
132002.0,104.0,3299.0
132001.0,47.0,3202.0
131702.0,94.0,3751.0
128802.0,22.0,4325.0
134421.0,11.0,3941.0
111204.0,8.0,5859.0
113212.0,86.0,3069.0
113234.0,194.0,4667.0
113211.0,22.0,3787.0
113232.0,0.0,3894.0
113321.0,270.0,5473.0
113231.0,9.0,2125.0
113301.0,41.0,2201.0
113303.0,77.0,4006.0
113401.0,47.0,5543.0
273100.0,20.0,2197.0
267403.0,36.0,3011.0
264103.0,8.0,2319.0
262802.0,0.0,3759.0
262706.0,10.0,3563.0
262604.0,18.0,6092.0
262501.0,0.0,3662.0
128601.0,99.0,4288.0
128102.0,187.0,4795.0
127806.0,246.0,3447.0
127804.0,119.0,3933.0
127803.0,247.0,4037.0
127711.0,121.0,3356.0
127603.0,187.0,2938.0
113322.0,9.0,3947.0
113421.0,289.0,6109.0
115201.0,117.0,6437.0
115302.0,174.0,4351.0
115202.0,76.0,4828.0
115101.0,35.0,5046.0
117301.0,70.0,3851.0
117302.0,179.0,4914.0
117404.0,60.0,4279.0
115401.0,173.0,5776.0
119320.0,194.0,4694.0
117510.0,287.0,4028.0
119340.0,260.0,3884.0
119310.0,189.0,3871.0
127102.0,170.0,4726.0
800101.0,30.0,5485.0
800102.0,66.0,7078.0
800202.0,33.0,6319.0
109400.0,55.0,3720.0
261200.0,9.0,4341.0
262100.0,0.0,3586.0
262400.0,0.0,3233.0
262303.0,7.0,3290.0
262302.0,0.0,2818.0
106403.0,96.0,3825.0
107010.0,79.0,3247.0
106641.0,13.0,2317.0
107020.0,134.0,5404.0
108101.0,11.0,2230.0
117530.0,375.0,5641.0
117405.0,297.0,3442.0
120010.0,99.0,2844.0
119900.0,44.0,4940.0
120030.0,143.0,2675.0
120300.0,121.0,5531.0
120020.0,222.0,4057.0
117520.0,273.0,4052.0
127520.0,280.0,4045.0
135202.0,104.0,4255.0
135203.0,42.0,7055.0
137302.0,8.0,4338.0
132900.0,92.0,3461.0
131200.0,52.0,3429.0
131600.0,99.0,5494.0
137301.0,0.0,2264.0
137201.0,116.0,5270.0
137504.0,7.0,1939.0
137401.0,32.0,4157.0
106520.0,110.0,5837.0
264301.0,96.0,4646.0
265520.0,108.0,4561.0
262601.0,9.0,3660.0
265305.0,0.0,4082.0
265420.0,0.0,1811.0
265303.0,20.0,4523.0
265304.0,31.0,3570.0
264000.0,0.0,3358.0
265510.0,27.0,4234.0
980019.0,0.0,173.0
113233.0,314.0,6655.0
108102.0,11.0,3430.0
108103.0,0.0,3256.0
109300.0,17.0,3085.0
109200.0,16.0,2669.0
109500.0,167.0,4303.0
111202.0,30.0,5213.0
111301.0,340.0,7087.0
111302.0,120.0,4786.0
111400.0,195.0,7560.0
109700.0,0.0,4493.0
139303.0,216.0,4186.0
139301.0,8.0,4462.0
137502.0,35.0,4202.0
139302.0,162.0,4422.0
139200.0,62.0,5175.0
139701.0,35.0,4920.0
139703.0,6.0,2943.0
131020.0,116.0,5698.0
141400.0,57.0,4412.0
141302.0,0.0,5504.0
109100.0,42.0,2492.0
320300.0,303.0,6948.0
265410.0,0.0,1576.0
265301.0,0.0,9344.0
264302.0,6.0,5683.0
267300.0,92.0,3680.0
267402.0,15.0,4580.0
267501.0,86.0,5379.0
267502.0,116.0,3243.0
