Census_Tra,TRACT,UHII,DegHourDay,FIPS,Pop2012_km,FID_,X,Y,x1,y1,Pop_km_2,SymbolID
1640,"195803",7882.08000000000,43.30813186810,"06037195803",7019.66574481000,320,202002.48400000000,-314605.18800000002,26.33400000000,64.13200000000,7019.70000000000,
1641,"195804",7871.43000000000,43.24961538460,"06037195804",8029.14403826000,321,202385.14100000000,-314926.71899999998,26.46200000000,64.02400000000,8029.10000000000,
1642,"195901",8121.10000000000,44.62142857140,"06037195901",7977.76146984000,322,201491.65599999999,-313858.50000000000,26.16400000000,64.38100000000,7977.80000000000,
1643,"195902",8087.37000000000,44.43609890110,"06037195902",5655.01017293000,323,201772.09400000001,-314111.90600000002,26.25700000000,64.29600000000,5655.00000000000,
1644,"195903",7556.98000000000,41.52186813190,"06037195903",9793.52807468000,324,201505.17199999999,-314724.93800000002,26.16800000000,64.09200000000,9793.50000000000,
1645,"197200",10792.90000000000,59.30164835160,"06037197200",5141.71294680000,325,205826.40599999999,-313563.59399999998,27.60900000000,64.47900000000,5141.70000000000,
1646,"197300",9170.66000000000,50.38824175820,"06037197300",6261.60739659000,326,204267.20300000001,-314613.12500000000,27.08900000000,64.12900000000,6261.60000000000,
1647,"197410",10132.20000000000,55.67142857140,"06037197410",2752.74775820000,327,204373.20300000001,-313324.18800000002,27.12400000000,64.55900000000,2752.70000000000,
1648,"197420",9018.10000000000,49.55000000000,"06037197420",5869.71828154000,328,203791.43799999999,-314403.62500000000,26.93000000000,64.19900000000,5869.70000000000,
1649,"197500",8305.36000000000,45.63384615380,"06037197500",6307.40275054000,329,203776.76600000000,-315523.34399999998,26.92600000000,63.82600000000,6307.40000000000,
1650,"197600",8326.39000000000,45.74939560440,"06037197600",6412.78522163000,330,204309.03099999999,-316011.62500000000,27.10300000000,63.66300000000,6412.80000000000,
1651,"197700",8694.93000000000,47.77434065930,"06037197700",7570.04340268000,331,204872.48400000000,-315973.09399999998,27.29100000000,63.67600000000,7570.00000000000,
