tract,med_hh_income,med_hh_income_universe,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
6037602802,106793.0,1287,Low Income,No,No,Yes,District 2,Unincorporated - Athens-Westmont,SPA 8 - South Bay,6968,14412133.2138672,16013.2096293318
6037602900,101186.0,1356,Low Income,No,No,Yes,District 2,City of Gardena,SPA 8 - South Bay,6969,30106415.8769531,27254.9326058831
6037603004,77765.0,631,Low Income,Yes,Yes,Yes,District 2,City of Gardena,SPA 8 - South Bay,6970,2438807.34375,8205.62061625655
6037603005,71458.0,2046,Low Income,Yes,Yes,Yes,District 2,City of Gardena,SPA 8 - South Bay,6971,7010468.77539062,10584.6085300634
6037603006,76563.0,845,Low Income,Yes,Yes,Yes,District 2,City of Gardena,SPA 8 - South Bay,6972,7390683.05273438,10957.6421241135
6037603007,90288.0,1179,Low Income,Yes,No,Yes,District 2,City of Gardena,SPA 8 - South Bay,6973,7207514.77929688,14307.4546567798
6037603008,61500.0,1190,Very Low Income,Yes,Yes,Yes,District 2,City of Gardena,SPA 8 - South Bay,6974,5025206.2109375,10814.9240859284
6037603101,83884.0,1617,Low Income,Yes,No,Yes,District 2,City of Gardena,SPA 8 - South Bay,6975,9488447.9765625,12618.0128086365
6037603102,67917.0,1244,Very Low Income,Yes,Yes,Yes,District 2,City of Gardena,SPA 8 - South Bay,6976,8013876.79101562,11371.0015759055
6037603200,111153.0,1291,Moderate Income,No,No,Yes,District 2,City of Gardena,SPA 8 - South Bay,6977,12283479.7255859,21847.6417374377
6037603301,66786.0,1390,Very Low Income,Yes,Yes,Yes,District 2,City of Gardena,SPA 8 - South Bay,6978,10497573.2597656,14152.6840473093
6037603302,76929.0,1584,Low Income,Yes,Yes,Yes,District 2,City of Gardena,SPA 8 - South Bay,6979,12228413.0751953,15265.2986007502
6037603400,84821.0,1451,Low Income,Yes,No,Yes,District 2,City of Gardena,SPA 8 - South Bay,6980,12212980.8378906,15582.4220506749
6037603500,87857.0,886,Low Income,Yes,No,Yes,District 2,City of Gardena,SPA 8 - South Bay,6981,8549668.76953125,13077.6230113209
6037603600,92552.0,1467,Low Income,Yes,No,Yes,District 2,City of Gardena,SPA 8 - South Bay,6982,10083412.03125,13097.1005143995
6037603702,113464.0,1679,Moderate Income,No,No,Yes,District 2,Unincorporated - El Camino Village,SPA 8 - South Bay,6983,28046529.2060547,21737.9760760684
6037603703,122609.0,866,Above Moderate Income,No,No,No,District 2,City of Hawthorne,SPA 8 - South Bay,6984,7027787.9375,10770.70131118
6037603705,75565.0,909,Low Income,Yes,Yes,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,6985,2958773.62207031,7392.65624946773
6037603706,72656.0,1047,Low Income,Yes,Yes,Yes,District 2,Unincorporated - El Camino Village,SPA 8 - South Bay,6986,3992160.0625,9930.36871514337
6037603801,75417.0,1522,Low Income,Yes,Yes,Yes,District 2,City of Lawndale,SPA 8 - South Bay,6987,7167070.50683594,10594.7065769927
6037603802,84735.0,1209,Low Income,Yes,No,Yes,District 2,City of Lawndale,SPA 8 - South Bay,6988,6832164.53222656,10354.9343678169
6037603901,113500.0,1290,Moderate Income,No,No,Yes,District 2,City of Lawndale,SPA 8 - South Bay,6989,7982435.90234375,15456.4599374641
6037603902,74531.0,1147,Low Income,Yes,Yes,Yes,District 2,City of Lawndale,SPA 8 - South Bay,6990,8080918.70117188,12037.5397602608
6037604001,77837.0,1215,Low Income,Yes,Yes,Yes,District 2,City of Lawndale,SPA 8 - South Bay,6991,7129745.98632812,10687.0710348248
6037604002,77098.0,1501,Low Income,Yes,Yes,Yes,District 2,City of Lawndale,SPA 8 - South Bay,6992,6995919.54882812,10360.4049234077
6037604101,77849.0,1142,Low Income,Yes,Yes,Yes,District 2,City of Lawndale,SPA 8 - South Bay,6993,5197447.734375,9593.58265901229
6037604102,91875.0,853,Low Income,Yes,No,Yes,District 2,City of Lawndale,SPA 8 - South Bay,6994,5705463.50195312,12008.6113812108
6037604200,74819.0,1649,Low Income,Yes,Yes,Yes,District 2,City of Inglewood,SPA 8 - South Bay,6995,13449760.9140625,17675.6173949717
6037609900,83717.0,603,Low Income,Yes,No,Yes,District 4,Unincorporated - La Rambla,SPA 8 - South Bay,6996,5516526.02636719,12905.4290369084
6037620001,163510.0,1689,Above Moderate Income,No,No,No,District 2,City of El Segundo,SPA 8 - South Bay,6997,12802240.8808594,14702.1008885804
6037620002,145325.0,1473,Above Moderate Income,No,No,No,District 2,City of El Segundo,SPA 8 - South Bay,6998,12754489.1259766,15822.0755906787
6037620101,127941.0,2080,Above Moderate Income,No,No,No,District 2,City of El Segundo,SPA 8 - South Bay,6999,14563830.0195312,16145.5843635476
